id,document,keyphrases
S088523081530036X,"Note that the presented architecture works at the frame level, meaning that each single frame (plus its corresponding context) is fed-forward through the network, obtaining a class posterior probability for all of the target languages. This fact makes the DNNs particularly suitable for real-time applications because, unlike other approaches (i.e. i-vectors), we can potentially make a decision about the language at each new frame. Indeed, at each frame, we can combine the evidence from past frames to get a single similarity score between the test utterance and the targetlanguages. A simple way of doing this combination is to assume that frames are independent and multiply the posterior estimates of the last layer. The score sl for language l of a given test utterance is computed by multiplying the output probabilities pl obtained for all of its frames; or equivalently, accumulating the logs as:(6)sl=1N∑t=1Nlogp(Ll|xt​, θ)where p(Ll|xt​, θ) represents the class probability output for the language l corresponding to the input example at time t, xt by using the DNN defined by parameters θ.","['accumulating the logs as:(6)sl=1N∑t=1Nlogp(Ll|xt\u200b,\u2009θ)', 'assume that frames are independent and multiply the posterior estimates of the last layer', 'combine the evidence from past frames', 'DNN', 'DNNs', 'evidence from past frames', 'i-vectors', 'multiplying the output probabilities pl obtained for all of its frames', 'other approaches', 'target languages', 'test utterance']"
S0003491615001955,"A fluctuating vacuum is a general feature of quantum fields, of which the free Maxwell field considered in  [1–12] is but one example. Fermionic fields such as that describing the electron, also undergo vacuum fluctuations, consequently one expects to find Casimir effects associated with such fields whenever they are confined in some way. Such effects were first investigated in the context of nuclear physics, within the so-called “MIT bag model” of the nucleon  [13]. In the bag-model one envisages the nucleon as a collection of fermionic fields describing confined quarks. These quarks are subject to a boundary condition at the surface of the ‘bag’ that represents the nucleon’s surface. Just as in the electromagnetic case, the bag boundary condition modifies the vacuum fluctuations of the field, which results in the appearance of a Casimir force  [14–18]. This force, although very weak at a macroscopic scale, can be significant on the small length scales encountered in nuclear physics. It therefore has important consequences for the physics of the bag-model nucleon  [19].","['a collection of fermionic fields describing confined quarks', 'bag-model nucleon', 'Casimir effects', 'Casimir force', 'Fermionic fields', 'fluctuating vacuum', 'free Maxwell field', '“MIT bag model” of the nucleon', 'nuclear physics', 'nucleon', 'quantum fields', 'such fields', 'the bag boundary condition modifies the vacuum fluctuations of the field', 'undergo vacuum fluctuations']"
S0021999115007238,"An inherent problem of the phase-space discretisation is the spurious separation of energy into the discretised bins. This is called the “Garden Sprinkler Effect” and has been extensively studied in [48,49,20]. (In the Boltzmann transport community this is known as the ray effect.) To showcase this effect in the angular dimension, a large spatial domain (4000km×4000km) is simulated, with a monochromatic wave propagating over a long distance in deep water (d=10000m). For the spatial discretisation a structured triangle mesh is used, with an element edge length of 67km (Fig. 11(a)). The initial wave field, located 500km from the lower and left side has a Gaussian distribution in space, with a significant wave height of Hs=2.5m and a standard deviation of 150km (Fig. 11(b)). Its mean direction is 30° with an angular distribution of cos2⁡(θ) and a frequency of 0.1Hz. The simulation is time-dependent and runs for 5 days with a time-step of 600s.","['deep water', 'Garden Sprinkler Effect', 'Gaussian distribution in space', 'monochromatic wave', 'phase-space discretisation', 'ray effect', 'simulation', 'spatial discretisation', 'spatial domain (4000km×4000km) is simulated', 'spurious separation of energy into the discretised bins', 'structured triangle mesh', 'wave', 'wave field']"
S0305440314001927,"Traditionally, archaeologists have recorded sites and artefacts via a combination of ordinary still photographs, 2D line drawings and occasional cross-sections. Given these constraints, the attractions of 3D models have been obvious for some time, with digital photogrammetry and laser scanners offering two well-known methods for data capture at close range (e.g. Bates et al., 2010; Hess and Robson, 2010). The highest specification laser scanners still boast better positional accuracy and greater true colour fidelity than SfM–MVS methods (James and Robson, 2012), but the latter produce very good quality models nonetheless and have many unique selling points. Unlike traditional digital photogrammetry, little or no prior control of camera position is necessary, and unlike laser scanning, no major equipment costs or setup are involved. However, the key attraction of SfM–MVS is that the required input can be taken by anyone with a digital camera and modest prior training about the required number and overlap of photographs. A whole series of traditional bottlenecks are thereby removed from the recording process and large numbers of archaeological landscapes, sites or artefacts can now be captured rapidly, in the field, in the laboratory or in the museum. Fig. 2a–c shows examples of terracotta warrior models for which the level of surface detail is considerable.","['2D line drawings', '3D models', 'archaeological landscapes', 'artefacts', 'control of camera position', 'data capture at close range', 'digital camera', 'digital photogrammetry', 'laser scanners', 'laser scanning', 'occasional cross-sections', 'ordinary still photographs', 'prior training about the required number and overlap of photographs', 'recorded sites and artefacts', 'recording process', 'SfM–MVS', 'SfM–MVS methods', 'sites', 'terracotta warrior models', 'traditional digital photogrammetry']"
S0038092X15001024,"The wind speed and cloud height Markov chains are produced accounting for seasonal variations. A Markov chain is used for each variable representing each of the four seasons, capturing the variability at different times of the year, totalling four chains each. The okta number Markov chains also consider the effect of season, with the inclusion of impacts from pressure and diurnal variation. Eight okta Markov chains are produced that are split by above and below average pressure for each season, and four additional morning okta Markov chains are produced to capture the diurnal variation for okta transitions between 00:00 and 05:00am for each season. The intent is to capture the variation in transition probability that occurs as a result of weather changes due to the presence of solar energy. 5am is considered the cut-off because it is a typical sunrise in the summer for the applied study locations. 5h represents 5 okta transitions and is considered an appropriate duration for the slight propensity to shift towards an increased okta to be represented, Fig. 8 demonstrates the diurnal transition differences. Fig. 2 visually demonstrates the mean okta Markov chain for the entire year, whilst the effect of season can be seen in Fig. 11.","['capture the variation in transition probability', 'Markov chain', 'okta Markov chain', 'okta Markov chains', 'okta number Markov chains', 'wind speed and cloud height Markov chains']"
S0927025614003322,"A principle of high-throughput materials science is that one does not know a priori where the value of the data lies for any specific application. Trends and insights are deduced a posteriori. This requires efficient interfaces to interrogate available data on various levels. We have developed a simple WEB-based API to greatly improve the accessibility and utility of the AFLOWLIB database [14] to the scientific community. Through it, the client can access calculated physical properties (thermodynamic, crystallographic, or mechanical properties), as well as simulation provenance and runtime properties of the included systems. The data may be used directly (e.g., to browse a class of materials with a desired property) or integrated into higher level work-flows. The interface also allows for the sharing of updates of data used in previous published works, e.g., previously calculated alloy phase diagrams [19–31], thus the database can be expanded systematically.","['AFLOWLIB database', 'alloy phase diagrams', 'browse a class of materials with a desired property', 'efficient interfaces to interrogate available data on various levels', 'higher level work-flows', 'high-throughput materials science', 'improve the accessibility and utility of the AFLOWLIB database', 'interface', 'physical properties', 'runtime properties', 'sharing of updates of data', 'simulation provenance', 'thermodynamic, crystallographic, or mechanical properties', 'WEB-based API']"
S2212667814000069,"In the present paper, a hypergraph model for the structural system modeling and reconfigurability analysis has been presented. At first, we represent each system equation by a hyperedge, and then we extend the modeling hypergraph with others colored hyperedges (red and blue) which allows us to perform the analysis task. Based on the bottom up analysis hypergraph model, it's very easy to check the system reconfigurability in the presence of fault by verifying the existence of paths from the affected hyperedge to specifics blue hyperedges passing through specifics red hyperedges. The method is illustrated through a pedagogical example.","['analysis task', 'bottom up analysis hypergraph model', 'hypergraph model', 'modeling hypergraph', 'pedagogical example', 'reconfigurability analysis', 'structural system modeling', 'system reconfigurability', 'verifying the existence of paths from the affected hyperedge']"
S0010938X14000420,"One surface was then polished and cleaned using a protocol designed to eliminate as much preparation-related contamination as possible. This is as follows: The lead surface was polished by hand using a damp abrasive disc (BuehlerMet II ®) to remove visible surface defects and to expose a fresh metal surface. Coupons were then polished using a sequence of diamond polishes with decreasing particle sizes (6μm, 3μm, 1μm Buehler MetaDi ® polycrystalline diamond suspension). A polishing cloth (Buehler MicroCloth ®) was saturated with the appropriate diamond suspension. A custom-made jig fitted to an automatic polisher (Buehler Minimet ® 1000) was used to hold the coupons in place during automated polishing. Coupons were polished for 15min using each diamond suspension followed by rinsing with 2-propanol (99.5%, reagent grade) and cleaning in 2-propanol for 5min in an ultrasonic bath. After polishing with the 1μm diamond suspension, the coupons were ultrasonically cleaned in 2-propanol for 3×5min, with fresh propanol for each cleaning cycle. Polished coupons were stored in 2-propanol until required.","['2-propanol', 'automated polishing', 'cleaning', 'coupons', 'Coupons', 'custom-made jig', 'damp abrasive disc', 'diamond', 'diamond polishes', 'diamond suspension', 'metal surface', 'polished', 'polisher', 'polishing', 'polishing cloth', 'polycrystalline diamond', 'propanol', 'surface', 'ultrasonic bath']"
S2212667812000524,"Digital libraries promise new societal benefits, especially for e-learning in digital or mobile times, starting with the elimination of the time and space constraints of traditional bricks-and-mortar libraries. The library and information professionals are required to acquire such knowledge and skills as the library is one of the highly IT influenced service profession. This paper gives an overview of current trends in digital library research consists of digital library characteristic, advantage, disadvantages and function. This paper also highlights on the impact of information technology on the traditional library.","['acquire such knowledge and skills', 'bricks-and-mortar libraries', 'Digital libraries', 'digital library', 'e-learning', 'elimination of the time and space constraints', 'highlights on the impact of information technology', 'library', 'overview of current trends in digital library research']"
S2212667812000822,"It has been more than a century since the emergence of the lettered words. After that, with the development of economy and culture, the increase of international contacts and communication between China and foreign countries, lettered words have been appearing more frequently. Lettered words have become an indispensable part of Chinese vocabulary, such as WTO, Ka la OK and MP3. As a new phenomenon in the vocabulary system of the modern Chinese, the lettered words draws a lot of academic attention. Ecolinguistics is a new branch of linguistic, which combine the linguistic with the ecology. This paper is trying to analyze the lettered words from the perspective of Ecolinguistics. This paper will discuss the reasons of appearing the lettered words and the influence may give to modern Chinese form the ecolinguistic view.","['analyze the lettered words from the perspective of Ecolinguistics', 'branch of linguistic', 'Chinese vocabulary', 'combine the linguistic with the ecology', 'communication', 'development of economy and culture', 'discuss the reasons of appearing the lettered words', 'Ecolinguistics', 'Ka la OK', 'lettered words', 'Lettered words', 'MP3', 'vocabulary system', 'WTO']"
S0045782515001231,"Isogeometric analysis. The central idea of isogeometric analysis is to use the same ansatz functions for the discretization of the partial differential equation at hand, as are used for the representation of the problem geometry. Usually, the problem geometry Ω is represented in computer aided design (CAD) by means of NURBS or T-splines. This concept, originally invented in  [1] for finite element methods (IGAFEM) has proved very fruitful in applications  [1,2]; see also the monograph  [3]. Since CAD directly provides a parametrization of the boundary ∂Ω, this makes the boundary element method (BEM) the most attractive numerical scheme, if applicable (i.e., provided that the fundamental solution of the differential operator is explicitly known). Isogeometric BEM (IGABEM) has first been considered for 2D BEM in  [4] and for 3D BEM in  [5]. Unlike standard BEM with piecewise polynomials which is well-studied in the literature, cf. the monographs  [6,7] and the references therein, the numerical analysis of IGABEM is essentially open. We only refer to  [2,8–10] for numerical experiments and to  [11] for some quadrature analysis. In particular, a posteriori error estimation has been well-studied for standard BEM, e.g.,  [12–18] as well as the recent overview article  [19], but has not been treated for IGABEM so far. The purpose of the present work is to shed some first light on a posteriori error analysis for IGABEM which provides some mathematical foundation of a corresponding adaptive algorithm.","['2D BEM', '3D BEM', 'adaptive algorithm', 'ansatz functions', 'a\xa0posteriori error analysis', 'a\xa0posteriori error estimation', 'BEM', 'boundary element method', 'CAD', 'computer aided design', 'finite element methods', 'IGABEM', 'IGAFEM', 'isogeometric analysis', 'Isogeometric analysis', 'Isogeometric BEM', 'mathematical foundation of a corresponding adaptive algorithm', 'numerical analysis of IGABEM', 'numerical scheme', 'NURBS', 'problem geometry', 'quadrature analysis', 'shed some first light on a\xa0posteriori error analysis for IGABEM', 'standard BEM', 'T-splines']"
S0167931712002699,"As the progression towards smaller lithographic nodes continues it has become necessary to adopt thinner resist films to mitigate problems such as pattern collapse. To address the issue of reduced etch resistance of thin photoresist films the semiconductor industry has begun to develop multilayer processes where the pattern is first transferred into an intermediate organic hardmask with higher etch selectivity before final silicon pattern transfer [25–27]. In this paper we demonstrate how the introduction of such a multilayer process can also benefit nanosphere lithography by increasing achievable aspect ratios of silicon nanopillars without the need for complex etch processes requiring specialised and expensive equipment, but instead needing only a standard SF6/C4F8 inductively coupled plasma (ICP) mixed mode etch process at room temperature [28]. As intermediate layer material we used polyimide, which finds widespread use as encapsulation material for IC production. It is readily patterned in oxygen plasma and has a lower etch rate than silicon in SF6 gas. Its flexibility can also be used for the fabrication of soft polymer pillars by the same process as we will show. The multilayer process slightly increases the complexity of sample preparation but allows basic ICP etching to achieve high aspect ratio structures at smaller feature sizes that previously reported without the need for complex etching equipment.","['complex etch processes', 'coupled plasma', 'encapsulation material', 'etching equipment', 'fabrication of soft polymer pillars', 'ICP', 'ICP etching', 'IC production', 'intermediate layer material', 'intermediate organic hardmask', 'multilayer process', 'multilayer processes', 'nanosphere lithography', 'oxygen plasma', 'pattern collapse', 'polyimide', 'reduced etch resistance of thin photoresist films', 'sample preparation', 'SF6 gas', 'silicon', 'silicon nanopillars', 'silicon pattern transfer', 'smaller lithographic nodes', 'thinner resist films', 'thin photoresist films']"
S0301679X14003272,"The lateral force, Q, is measured and recorded throughout the entire test by a piezoelectric load cell which is connected to the quasi-stationary LSMB. The LSMB is mounted on flexures which provide flexibility in the horizontal direction so that the majority of the lateral force is transmitted though the much stiffer load path which contains the load cell as shown in Fig. 2. Both displacement and load sensors have been calibrated (both externally and in-situ) in static conditions. The load and displacement signals are sampled at a rate of two hundred measurements per fretting cycle at all fretting frequencies, with these data being used to generate fretting loops. The loops were used to derive the contact slip amplitude and the energy coefficient of friction in each cycle according to the method suggested by Fouvry et al. [17]. Average values for these were calculated for each test (the average coefficient of friction included values associated with the initial transients in the tests as suggested by Hirsch and Neu [18]).","['displacement and load sensors', 'flexures', 'fretting loops.', 'lateral force, Q, is measured and recorded', 'load cell', 'LSMB', 'piezoelectric load cell']"
S0375960115005630,"The systems in which the Stern–Gerlach force is most prominent are those with a high electromagnetic field gradient. Section 2 considers the implications of the coupling between the spin of a classical electron and the rapidly varying electromagnetic field produced by a laser-driven plasma wave. Sufficiently short, high-intensity laser pulses can form longitudinal waves within the electron density of a plasma. These density waves propagate with speed comparable to the group speed of the laser pulse. Not all plasma electrons form this wave, however; some of the electrons are caught up in the wave and accelerated by its high fields. The wave eventually collapses as these electrons damp the wave (the wave ‘breaks’). The extremely high electric field gradient of a plasma wave near wavebreaking provides an excellent theoretical testing ground for the effects of Stern–Gerlach-type contributions to the trajectory of a test electron.","['density waves', 'electromagnetic field', 'electromagnetic field gradient', 'electron', 'electrons', 'electrons damp the wave', 'high electric field gradient of a plasma wave', 'high-intensity laser pulses', 'laser', 'laser-driven plasma wave', 'laser pulse', 'longitudinal waves', 'plasma', 'plasma electrons', 'Stern–Gerlach force', 'Stern–Gerlach-type contributions', 'wave ‘breaks’']"
S2212671612000698,In Obstacle detection is based on inverse perspective mapping and homography. Obstacle classification is based on fuzzy neural network. The estimation of the vanishing point relies on feature extraction strategy. The method exploits the geometrical relations between the elements in the scene so that obstacle can be detected. The estimated homography of the road plane between successive images is used for image alignment. A new fuzzy decision fusion method with fuzzy attribution for obstacle detection and classification application is described The fuzzy decision function modifies parameters with auto-adapted algorithm to get better classification probability It is shown that the method can achieve better classification result.,"['auto-adapted algorithm', 'classification', 'detected', 'elements', 'estimated homography', 'estimation of the vanishing point', 'feature extraction strategy', 'fuzzy attribution for obstacle detection and classification application', 'fuzzy decision fusion method', 'fuzzy neural network', 'geometrical relations', 'image alignment', 'images', 'inverse perspective mapping and homography', 'obstacle', 'Obstacle classification', 'Obstacle detection', 'obstacle detection and classification application', 'road plane', 'scene', 'The fuzzy decision function']"
S0263822312001468,"Recently together with structural efficiency, passenger safety is also an important issue in application of material to transportation industries. Hence, the crashworthiness parameters are introducing to predict the capability of structure to prevent the massive damage and protect the passenger in the event of a crash. Crashworthiness parameters for various thin-walled tubes made from metal or fibre/resin composites in different geometries have been studied. A critical difference of tubular composites failure modes compared with metallic is the brittle collapse. In addition, in composites, tubular failure modes are involved with micro-cracking development, delamination, fibre breakage, etc., instead of plastic deformation. Implementation of composite materials in the field of crashworthiness is attributed to Hull, who in 80s and 90s of the last century studied extensively the crushing behaviour of fibre reinforced composite material. He found that the composite materials absorbed high energy in the face of the fracture surface energy mechanism rather than plastic deformation as observed for metals [1]. This observation has inspired others to further investigation about crashworthiness characteristics of composite materials. Studies have examined the axial crushing behaviour of fibre-reinforced tubes [2], fibreglass tubes [3,4], PVC tubes [5] and carbon fibre reinforced plastic (CFRP) tubes [6].","['axial crushing behaviour', 'brittle collapse', 'carbon fibre reinforced plastic', 'carbon fibre reinforced plastic (CFRP) tubes', 'CFRP', 'composite materials', 'composites', 'crashworthiness characteristics', 'crashworthiness parameters', 'Crashworthiness parameters', 'crushing behaviour', 'delamination', 'fibre breakage', 'fibreglass tubes', 'fibre reinforced composite material', 'fibre-reinforced tubes', 'fibre/resin composites', 'fracture surface energy', 'Implementation of composite materials', 'metal', 'metals', 'micro-cracking development', 'passenger safety', 'plastic deformation', 'prevent the massive damage', 'protect the passenger', 'PVC tubes', 'structural efficiency', 'transportation industries', 'tubular composites failure', 'tubular failure modes']"
S0370269304009037,"Within a coalescence approach as successfully applied earlier in the light-quark sector, we have evaluated transverse-momentum dependencies of charmed hadrons in central heavy-ion reactions at RHIC. For the charm-quark distributions at hadronization we have considered two limiting scenarios, i.e., no reinteractions (using spectra from PYTHIA) and complete thermalization with transverse flow of the bulk matter. The resulting J/ψ (mT-)spectra differ in slope by up to a factor of 2 (harder for pQCD c-quarks), and the integrated yield is about a factor of 3 larger in the thermal case. For D-mesons, we found that the difference in the slope parameters of the pT-spectra in the two scenarios is less pronounced, but their elliptic flow is about a factor of 2 larger for pT⩾1.5 GeV in the thermalized case. The elliptic flow pattern of D-mesons was found to be essentially preserved in the single-electron decay spectra, rendering the latter a very promising observable to address the strength of charm reinteractions in the QGP. The present study can be straightforwardly generalized to charmed baryons (Λc), which may serve as a complimentary probe for charm-quark reinteractions in the QGP.","['baryons', 'central heavy-ion reactions', 'charmed hadrons', 'charm-quark distributions', 'charm-quark reinteractions', 'charm reinteractions', 'coalescence approach', 'complete thermalization', 'complimentary probe', 'difference in the slope parameters', 'D-mesons', 'elliptic flow', 'elliptic flow pattern', 'evaluated transverse-momentum dependencies', 'hadronization', 'integrated yield', 'light-quark sector', 'pQCD c-quarks', 'pT-spectra', 'QGP', 'quark', 'single-electron decay spectra', 'spectra', 'transverse flow']"
S0370269302011838,"First results from RHIC on charged multiplicities, evolution of multiplicities with centrality, particle ratios and transverse momentum distributions in central and minimum bias collisions, are analyzed in a string model which includes hard collisions, collectivity in the initial state considered as string fusion, and rescattering of the produced secondaries. Multiplicities and their evolution with centrality are successfully reproduced. Transverse momentum distributions in the model show a larger pT-tail than experimental data, disagreement which grows with increasing centrality. Discrepancies with particle ratios appear and are examined comparing with previous features of the model at SPS.First results from RHIC on charged multiplicities, evolution of multiplicities with centrality, particle ratios and transverse momentum distributions in central and minimum bias collisions, are analyzed in a string model which includes hard collisions, collectivity in the initial state considered as string fusion, and rescattering of the produced secondaries. Multiplicities and their evolution with centrality are successfully reproduced. Transverse momentum distributions in the model show a larger pT-tail than experimental data, disagreement which grows with increasing centrality. Discrepancies with particle ratios appear and are examined comparing with previous features of the model at SPS.","['charged multiplicities', 'collectivity in the initial state', 'Discrepancies with particle ratios', 'evolution of multiplicities with centrality', 'hard collisions', 'Multiplicities', 'particle', 'particle ratios', 'rescattering of the produced secondaries', 'string model', 'their evolution', 'transverse momentum distributions', 'Transverse momentum distributions']"
S0167273813006735,"While impedance spectroscopy is a quite common method to investigate mixed conducting thin film electrodes, [6,10–12] oxygen tracer experiments are often performed on bulk samples [13–16]. Recently, several IEDP measurements of mixed conducting cathode materials were published with the oxide films being deposited on insulating substrates [17–19]. However, to the best of the authors' knowledge no study so far reported experiments with both techniques being applied on the same films at the same temperature. This contribution reports the results of a study applying EIS and IEDP to one and the same La0.6Sr0.4CoO3−δ (LSC) thin film in order to get complementary results on the resistive contributions of the oxygen reduction kinetics on such films. As electrical measurements require an oxygen ion conductor, yttria stabilized zirconia (YSZ) was used as substrate for LSC films with two different grain sizes. Quantitative material parameters are deduced from both types of experiments and comparison of the data allowed testing the appropriateness of analysis models.","['analysis models', 'applying EIS and IEDP to one and the same La0.6Sr0.4CoO3−δ (LSC) thin film', 'appropriateness of analysis models', 'bulk samples', 'comparison of the data', 'EIS', 'electrical measurements', 'films', 'grain', 'IEDP', 'IEDP measurements', 'impedance spectroscopy', 'insulating substrates', 'La0.6Sr0.4CoO3−δ', 'LSC', 'LSC films', 'mixed conducting cathode materials', 'mixed conducting thin film electrodes', 'oxide films', 'oxygen', 'oxygen ion conductor', 'oxygen reduction kinetics', 'oxygen tracer experiments', 'Quantitative material parameters', 'resistive contributions of the oxygen reduction kinetics', 'thin film', 'YSZ', 'yttria stabilized zirconia']"
S187775031300077X,"Although mean-field models have been used in all these settings, little analysis has been done on their behaviour as spatially extended dynamical systems. In part, this is due to their staggering complexity. The Liley model [15] considered here, for instance, consists of fourteen coupled Partial Differential Equations (PDEs) with strong nonlinearities, imposed by coupling between the mean membrane potentials and the mean synaptic inputs. The model can be reduced to a system of Ordinary Differential Equations (ODEs) by considering only spatially homogeneous solutions, and the resulting system has been examined in detail using numerical bifurcation analysis (see [16] and references therein). In order to compute equilibria, periodic orbits and such objects for the PDE model, we need a flexible, stable simulation code for the model and its linearization that can run in parallel to scale up to a domain size of about 2500cm2, the size of a full-grown human cortex. We also need efficient, iterative solvers for linear problems with large, sparse matrices. In this paper, we will show that all this can be accomplished in the open-source software package PETSc [17]. Our implementation consists of a number of functions in C that are available publicly [18].","['efficient, iterative solvers', 'efficient, iterative solvers for linear problems with large, sparse matrices', 'large, sparse matrices', 'Liley model', 'mean-field models', 'membrane potentials', 'numerical bifurcation analysis', 'ODEs', 'Ordinary Differential Equations', 'Partial Differential Equations', 'PDE model', 'PDEs', 'PETSc', 'spatially extended dynamical systems', 'synaptic inputs']"
S0022311515002664,"The primary benefit of using a 3D model is that it allows the application of anisotropic material properties. As a hexagonal close packed lattice structure, a single zirconium grain is plastically anisotropic due to the difficulty of activating slip with a 〈c〉 component [23–26]. Abaqus allows this to be represented by setting plasticity potential ratios. The anisotropic elastic and plastic constants are shown in Table 1. Zirconium alloys can often have a bimodal basal pole distribution, with a tilt on the basal normal or c direction of ±30° in the normal direction being quoted for recrystallized Zircaloy-4 [27,28]. However, for simplicity the basal normal or c direction has been taken as being parallel to the normal direction. As such the 1, 2 and 3 directions in Table 1 correlate with the X, Y and Z global coordinate system for the 3D simulations, with the 3 direction correlating to the c direction of a zirconium unit lattice. Table 1 also shows the elastic properties incorporated into the simulations. The oxide layer has been simulated as a purely elastic material. Although it is known that the oxide is strongly textured [29], it is still simulated as a homogenous solid therefore isotropic material properties have been used for the oxide in all simulations.","['3D model', '3D simulations', 'Abaqus', 'anisotropic elastic and plastic constants', 'anisotropic material properties', 'bimodal basal pole distribution', 'isotropic material properties', 'oxide', 'oxide layer', 'plasticity potential ratios', 'purely elastic material', 'recrystallized Zircaloy-4', 'simulations', 'Zirconium', 'zirconium grain', 'zirconium unit lattice']"
S0377221716301904,"We propose an equilibrium model that allows to analyze the long-run impact of the electricity market design on transmission line expansion by the regulator and investment in generation capacity by private firms in liberalized electricity markets. The model incorporates investment decisions of the transmission system operator and private firms in expectation of an energy-only market and cost-based redispatch. In different specifications we consider the cases of one vs. multiple price zones (market splitting) and analyze different approaches to recover network cost—in particular lump sum, generation capacity based, and energy based fees. In order to compare the outcomes of our multilevel market model with a first best benchmark, we also solve the corresponding integrated planner problem. Using two test networks we illustrate that energy-only markets can lead to suboptimal locational decisions for generation capacity and thus imply excessive network expansion. Market splitting heals these problems only partially. These results are valid for all considered types of network tariffs, although investment slightly differs across those regimes.","['analyze different approaches to recover network cost', 'analyze the long-run impact of the electricity market design on transmission line expansion', 'energy based fees', 'equilibrium model', 'excessive network expansion', 'first best benchmark', 'generation capacity based', 'integrated planner problem', 'lump sum', 'market splitting', 'Market splitting', 'multilevel market model', 'recover network cost', 'solve the corresponding integrated planner problem']"
S0370269304009177,"In the brane system appearing in string/D-brane theory, the stableness is the most important requirement. We find some stable brane configurations in the SUSY bulk-boundary theory. We systematically solve the singular field equation using a general mathematical result about the free-wave solution in S1/Z2-space. The two scalars, the extra-component of the bulk-vector (A5) and the bulk-scalar (Φ), constitute the solutions. Their different roles are clarified. The importance of the “parallel” configuration is disclosed. The boundary condition (of A5) and the boundary matter fields are two important elements for making the localized configuration. Among all solutions, the solution (c1=−1, c2=−1) is expected to be the thin-wall limit of a kink solution. We present a bulk Higgs model corresponding to the non-singular solution. The model is expected to give a non-singular and stable brane solution in the SUSY bulk-boundary theory.","['A5', 'boundary condition', 'brane system', 'bulk Higgs model', 'bulk-scalar', 'c1=−1, c2=−1', 'different roles are clarified', 'extra-component of the bulk-vector', 'general mathematical result about the free-wave solution', 'kink solution', 'non-singular and stable brane solution', 'non-singular solution', 'solution', 'solve the singular field equation', 'stable brane configurations', 'stableness', 'string/D-brane theory', 'SUSY bulk-boundary theory', 'thin-wall limit', 'Φ']"
S0032386108009397,"The viscoelastic behavior of elastomers containing small amounts of unattached chains has been investigated to characterize the dynamics of the polymer chains trapped in fixed networks [66–68]. Polymer chains trapped in fixed networks constitute a simpler system for the study of the polymer chain dynamics than the corresponding uncrosslinked polymer melts. This is because the complicated effect of the motion of the surrounding chains on the dynamics of the probe chain – called “constraint release” [69] – is absent in the fixed network systems. Most of the earlier studies employed randomly crosslinked elastomers as host networks. In this case, precise control of the mesh size of the host networks is not possible, and the mesh size has a broad distribution. The end-linking systems give the host networks a more uniform mesh size, and they can control the mesh size by the size of the precursor chains. We investigated the dynamic viscoelasticity of end-linked PDMS elastomers containing unattached linear PDMS as functions of the size of the unattached chains (Mg) and the network mesh (Mx) (Fig. 9a) [70]. We employed two types of host networks with Mx>Me and Mx<Me where Me (≈10,000 for PDMS) is the molecular mass between adjacent entanglements in the molten state. The Mx>Me and Mx<Me networks (designated as NL and NS, respectively) were designed by end-linking the long (Mn=84,000) and short precursor chains (Mn=4,550), respectively. The mesh of the NL networks is dominated by trapped entanglements, while that of the NS network is governed by chemical cross-links.","['characterize the dynamics of the polymer chains', 'chemical cross-links.', 'constraint release', 'control of the mesh size', 'crosslinked elastomers', 'elastomers', 'mesh', 'Mg', 'Mx', 'Mx<Me', 'Mx>Me', 'network mesh', 'NL', 'NS', 'PDMS', 'PDMS elastomers', 'polymer chain', 'polymer chains', 'Polymer chains', 'polymer melts', 'precursor chains', 'probe chain', 'unattached chains', 'viscoelastic behavior']"
S0377025714002213,"The first of these systems, a biopolymer gel, involves the thermoreversible gelation of aqueous gelatin solutions to form a physical gel, whereas the other systems considered herein involve the formation of chemical gels featuring permanent cross-linked branching networks. The second system is a commercial silicone dielectric gel (SDG) which is used in the production of electronic products created by industrial printing processes. The third experimental system is a fibrin gel formed by the thrombin-induced polymerisation of fibrinogen molecules. The gel network product in the latter case forms the principal microstructural component of a blood clot [8]. The latter case is particularly interesting as the critical-gel which is established at the GP serves as a ‘template’ for the ensuing development of microstructure and associated rheological properties in the post-GP phase of fibrin clot evolution [9].","['biopolymer gel', 'blood clot', 'commercial silicone dielectric gel', 'critical-gel', 'cross-linked branching networks', 'fibrin clot', 'fibrin gel', 'fibrinogen molecules', 'gel network product', 'GP', 'microstructural component', 'production of electronic products', 'SDG', '‘template’ for the ensuing development of microstructure and associated rheological properties', 'thermoreversible gelation', 'thrombin-induced polymerisation']"
S0021999115004301,"A popular choice is to couple a set of quadrature points with an equal number of nodal Lagrange polynomials defined at the same points, leading to a collocation method. There are many examples of this throughout the literature, both in terms of the more traditionally utilised continuous Galerkin (CG) and discontinuous Galerkin (DG) formulations, as well as newer extensions such as the flux reconstruction (FR) technique as presented by Huynh [23]. In collocation methods, while most linear operators can be exactly integrated in this setting depending on the choice of quadrature, integrals of nonlinear terms typically incur numerical error. However, the computational efficiencies that can be attained through the use of a collocation formulation, especially given the presence of a diagonal mass matrix, often outweigh the numerical error that is incurred.","['CG', 'collocation formulation, especially given the presence of a diagonal mass matrix', 'collocation method', 'collocation methods', 'couple a set of quadrature points with an equal number of nodal Lagrange polynomials', 'DG', 'discontinuous Galerkin', 'flux reconstruction', 'FR', 'Galerkin', 'linear operators', 'newer extensions']"
